,price,total_floor,area_size,elevator,date_on_market,last_transact_date,bedrm_no,parlour_no,kitchen_no,toilet_no,stair,unit,proportion,mid_floor,higher_floor,duplex_config,levelling_config,split_level_config,diepin,talou,pingfang,bantajiehe,banlou,dudong,lianpai,south,west,north,northeast,southeast,northwest,southwest,frame_struct,mixed_struct,brickwood_struct,brickmix_struct,steelmix_struct,steel_struct,maopei,jianzhuang,jingzhuang,public_housing,commercial_housing,office,n_linong,o_linong,residential,apartment,garden_house,beyong_two,beyond_five,shared,uploaded,central_outer,inner,inner_central,after_work,call_agent,only_weekend,reservation,baoshan,changning,chongming,fengxian,hongkou,huangpu,jiading,jingan,jinshan,minhang,pudong,putuo,qingpu,songjiang,xuhui,log_price
price,1.0,0.2969531878115419,0.7240131058412255,0.2464462481019261,0.054074688050197425,0.09653977678676881,0.5227828642550939,0.41271466035134163,0.0907986641981291,0.5778029457887613,0.08665977152722437,-0.17948594411796484,0.370665764454296,-0.029407423679830548,-0.10128403555804927,0.2415023393327994,-0.08483302412646487,0.050134175492017076,0.051200947801940705,0.0026299537476637013,-0.012355532245820342,0.05703808284687197,-0.04867705364968128,0.19420561477835085,0.05590550873920885,0.053209653885416944,0.02011777016817208,0.047182581882552775,0.002656764609001837,0.0351930622564071,-0.001696838342810247,0.05366009004003339,0.043151696725585,-0.018384877335010437,-0.010400990165613142,-0.24202972977295417,0.248338635209212,-0.009551744204115498,-0.06393899431303188,-0.11583662969002081,0.1698897839772418,-0.02926456794429594,0.09551796381101722,-0.12801858061647373,0.003281495964945146,0.05342928554830523,0.07897619807982793,0.0006798611537835902,0.0008010357099875947,-0.060904777659059904,0.07757215763131149,0.026260316642884637,0.06570749639442518,0.013759471934137995,0.23389854899867557,0.08754588394415333,-0.010867159401039862,-0.018127201533948704,0.08992949803804653,-0.0400371489449606,-0.06880733583739208,0.060889568418534906,-0.11246200009890173,-0.11057638246113509,0.02713349133781947,0.12565075965991362,-0.14668105877174087,0.12680862158048878,-0.11898389389162917,0.06358408330002678,0.049688365306086925,0.01061814324518619,-0.048606457405306926,-0.04163821466754252,0.05459852178293713,0.8643414193801098
total_floor,0.2969531878115419,1.0,0.18874693082016678,0.7608420923477892,0.08065312247561304,-0.10931307190609335,0.07086787961801233,0.17633726215675125,-0.02398910906663924,0.11199163231283128,0.6503074327303766,0.2927377711336421,0.09261078155501823,0.02054262020686919,-0.2094181090373334,-0.0479055758813366,-0.16839007106335066,0.00911711769423026,-0.019937067739756408,0.4982255042908747,0.0019283118691332572,0.17967487806313923,-0.5047047765880125,-0.0355038821071974,-0.04023183620706111,-0.2625817750476174,0.12088403163651691,-0.0012940348162713575,0.08575077468695504,0.11160335390784061,0.08295020279571702,0.15899976555122164,0.048898776801450765,-0.047908651335197616,-0.014299768608644908,-0.5467615757180484,0.5454090706802674,0.02640655915114928,-0.0008413565248448129,-0.17735129775003763,0.15490076349989657,-0.05684589847192362,-0.037706562320341835,0.30592897082508863,-0.019254442586331813,-0.008202492109147102,-0.2780495460009229,-0.010166992558351262,-0.013289465684449999,0.03950432908164088,-0.08482161521390283,-0.05320754800305613,-0.15320416886084867,-0.14163758629310835,0.23327967303224176,-0.05489759465329406,-0.026536129486709015,0.016864273779332473,0.006447408946840761,-0.049421889389959374,-0.039426945086797366,0.008214069975813816,-0.0887940580973154,-0.02333488934872924,0.05553178568034205,0.1198666689227469,0.04184207751612591,0.12150890107119047,-0.03059660239165468,-0.1058168338115372,-0.03604121235916521,0.04020509416201269,0.0663586417586711,0.053354794192293206,-0.030610661426218183,0.24612294061309214
area_size,0.7240131058412255,0.18874693082016678,1.0,0.25058124713400615,0.11775006713637952,0.0374763892165844,0.7584240593528521,0.6050307333953153,0.12402238008408234,0.7300224291571707,0.04772329859682108,-0.19949001623268606,0.46038797545987986,-0.052866466824624384,-0.09266537180854195,0.34730332082379894,-0.18240319779468575,0.048565650788194525,0.07249930355300413,-0.03816665994008717,-0.010863564619276789,0.009247782863413462,-0.031955603960941985,0.22429080596672882,0.15101665812910747,0.1068878880742367,-0.0023562794127332345,0.10185834490561883,-0.011284801754367538,-0.008237703624026186,-0.017472167374215333,0.003982553884692179,0.032573207682836565,-0.030958980620560465,-0.014328467603937498,-0.35289199759198336,0.3448808004615562,-0.008238605791015192,0.05942730267385342,-0.11843344295455478,0.0998713605311452,-0.05913738636464334,0.026373346176724256,-0.07130398396500459,-0.011347065378063922,0.021083293501516845,0.0032663049362774855,-0.00593627525373056,0.01902890242312511,-0.03284957542928777,0.05154578301376127,0.04669959529949162,0.03346597985268658,-0.05590505232824011,-0.03931556155388311,-0.09868500034667287,-0.011407014125166504,-0.013838666151827992,0.045520283360205485,0.016665606580955894,0.011568475874906026,-0.04954261816595418,0.043366528087283,0.0788571870580982,-0.01616129582137093,0.02058335881130951,-0.03365889998932648,-0.01992808617561138,0.046060864548048704,0.048030073562947535,0.0598858771560387,-0.048886537661790845,0.04699160064745428,0.09955193806707928,-0.09656065691247462,0.5935422772928277
elevator,0.2464462481019261,0.7608420923477892,0.25058124713400615,1.0,0.10836670068048637,-0.1652061963916418,0.13515057393286795,0.2768623717914956,-0.01762349967805139,0.16361745104424275,0.5601570398632016,0.3388892258873732,0.10088451197869226,0.04522968096142499,-0.2964265649346345,-0.017839976475646536,-0.20578310676110664,0.02300295830765102,0.011826736995674162,0.4003612462920385,0.013941340946746466,0.10877479015747758,-0.41847600503801563,0.013546219515503046,0.022155063326468938,-0.2076884824095023,0.09476488074064929,0.048636222663650336,0.06551381932605385,0.06592234693756217,0.05508855331247744,0.08488587838123042,0.041100550832402126,-0.05686784497549381,-0.016472098253690063,-0.6906129649716067,0.6827954831005794,0.013257754109171177,0.05203591668144814,-0.23403914621428953,0.1788637521730211,-0.0687994711454749,-0.0910713624794283,0.3256469097312061,-0.019750097055627205,-0.006224990908887473,-0.3181313747226422,-0.005539343636256286,-0.0055108702520976225,0.07311445570342882,-0.10654007483179379,-0.04154967916213739,-0.17137740973621313,-0.15690642855457682,0.057690094362052066,-0.12736328981988684,-0.024223128698283056,0.0242092157391786,0.001928571076239565,-0.0327390607398399,-0.0022726967093744436,-0.025102191663769865,-0.0559996571970263,0.007687513529332123,0.009889125262957172,0.05565025987448712,0.09147702384168865,0.016236105480544594,-0.02915364023816181,-0.047182319791933575,-0.027079471780051628,-0.03413047419400793,0.12016622939316418,0.1773478364944656,-0.08706395689313777,0.19067765445095647
date_on_market,0.054074688050197425,0.08065312247561304,0.11775006713637952,0.10836670068048637,1.0,0.013031316780858506,0.060426322285139555,0.04484658437328363,-0.021651044811613757,0.09378839274962668,0.13761499089863244,0.18708397832368814,-0.036926144343801495,-0.007933757774989968,-0.033522460428258016,0.06804674496255368,-0.17689050741355256,-4.480906308536424e-05,0.010278297000199136,0.12069269548059064,0.00580817032645235,0.026589810172117253,-0.13080763887061206,0.053692626210452093,0.048279179262829486,-0.14717090177058662,0.057504406326714066,0.02425021674331378,0.024837668640544146,0.01910187842414135,0.03755064276558518,0.012859895017400471,0.014687899935467917,-0.004570390462441716,-0.0018211541912951878,-0.1202659364864774,0.1144149412324808,0.008800681310801129,0.023256373235698333,-0.03997726988388944,0.015703261026099112,0.0038485558606948713,0.037736944700144257,0.23147099555829373,0.028320781265173147,0.00998097196498619,-0.2458067555996428,0.008894143455447324,0.014562168801211422,-0.012457531839743697,-0.0356261838212187,-0.05670154208572153,-0.19761148135355933,-0.07505298053717328,0.07059885236200669,-0.027590433378029525,-0.020547535671626583,0.16951251602300563,-0.007952336199658454,-0.019950285852470363,0.009824954023786548,-0.0008490710695576718,0.01629619429857352,0.03765724229164561,0.026692253685325608,0.06527364133156238,0.029146150004633303,0.011021334084928022,0.07640133228276659,-0.0702860766573195,0.008431371204391122,-0.022931170981691302,0.0014036824097221363,-0.021324560441037557,-0.0052141216185496815,-0.025893060689305133
last_transact_date,0.09653977678676881,-0.10931307190609335,0.0374763892165844,-0.1652061963916418,0.013031316780858506,1.0,0.06411219944681248,0.013052068383255996,-0.004665260500227909,0.010292810424132768,-0.13040402786772728,-0.12034623479306557,0.003988186988402071,-0.01016844629225876,0.06745238213892553,0.029334258412244064,0.08559297879347272,0.017180380429379527,-0.01224946047513659,-0.010184684040928324,-0.018872613097028673,-0.026044152068977557,0.045919885919628485,-0.005773929203583053,-0.010695478930461763,0.05162748972695924,-0.01059113727336075,-0.016106429999938943,-0.014966801084558523,0.01337091914009234,-0.008744944517181172,0.014349264231056952,-0.01562235402143312,0.0024756541410006416,0.003248538041643001,0.13133788634999602,-0.11473890105311503,0.0005990340661465392,-0.08345517378827072,0.18684525581577738,-0.12624133264387544,-0.02293142439804054,0.12439076212520898,-0.15255454025721218,0.039200140121464784,-0.003456094066252331,0.14797833694107096,0.004835408501449501,-0.007816139224209049,-0.37618797281702104,0.5401940373231382,0.03192931180914702,0.0636132654244902,0.062150753031794646,0.059515115723894056,0.08250546058043232,-0.0038921507320228165,-0.0036095217614107206,0.006272899538147059,0.026882646689150618,-0.028403830071706274,0.05136966035324772,-0.03642117497301007,-0.015272400060918071,0.028508498126293462,0.011399037909947706,-0.08191978986106734,0.025910448802908166,-0.005434726906728077,0.05973090277610042,-0.019634457912031972,0.04320506286896636,-0.1035384178430333,-0.07081737344099989,0.04013718216883823,0.16003614209083203
bedrm_no,0.5227828642550939,0.07086787961801233,0.7584240593528521,0.13515057393286795,0.060426322285139555,0.06411219944681248,1.0,0.5580510526913843,0.1348630650476379,0.6477148245660403,-0.0521599779481206,-0.23869156094303365,0.41652588665367607,-0.06858288490354378,-0.017164973733357788,0.356192655320126,-0.12549316145917735,0.049444292531935635,0.05594404327744133,-0.10499869425188606,-0.008993804690103423,-0.01786200313412095,0.06267600297310927,0.09616865790603793,0.09486282207579257,0.15313820761150249,-0.021008268805334317,0.1369965903295833,-0.028711500065508797,-0.012714982465252616,-0.019636939571147878,-0.02376328837688826,0.025370892853777166,-0.024918533501078987,-0.01399097090320255,-0.24849502199397427,0.24223749968587954,-0.014969170060213888,0.04044946324499401,-0.08357804658521673,0.07894388496238662,-0.043273441909194944,0.016170927732465375,-0.13068429184794583,-0.0044637306310000655,0.014840876259350861,0.09093804668840966,0.003958770471042167,0.006199264316483128,-0.023914334782525002,0.054475477975797604,0.0773061559334697,0.05796725090731128,-0.04795027196518313,-0.09572342060766262,-0.10358575168958233,-0.005105909000766869,-0.014955129191198936,0.041704803612394974,0.044918604311975266,0.034336988811396726,-0.062095628798417436,0.05233693376775694,0.08444399407245812,-0.03584845551298961,-0.017764728506462303,-0.00860894806309655,-0.05492894893256858,0.0715121465255078,0.05298098440085259,0.09086685306441787,-0.07276853791749359,0.04342900243035503,0.09508365772880255,-0.10049579534981291,0.5132546836815679
parlour_no,0.41271466035134163,0.17633726215675125,0.6050307333953153,0.2768623717914956,0.04484658437328363,0.013052068383255996,0.5580510526913843,1.0,0.1300056652972311,0.4863708229485445,0.026998185060034863,-0.1916206590404331,0.43708046659437866,-0.028792032205041156,-0.10099099812112368,0.21917890884032912,-0.08461642770451115,0.060356178655514084,0.032214612598729396,-0.09642163977245304,-0.013799563683565875,0.003640871391645372,0.058465549530406634,0.06349263069110558,0.054210307086850935,0.14700841614737126,-0.03539594753487131,0.13292103047805606,-0.016702430492170364,-0.03247516535894159,-0.026952356019956835,-0.022613025830140864,0.024572606484813426,-0.029582290353538987,-0.023071098172667216,-0.40742328465407995,0.4009444779260353,-0.01975978193165469,0.039586414673425885,-0.14400232459458837,0.13382689185665164,-0.08414885395943968,0.012549823760163293,-0.07050602835545597,-0.01919573524942592,0.018708490139252645,0.050555893628855736,-0.0069176764276484715,-0.0021107726200123482,-0.01409460632744925,0.060438737198331705,0.08191691444411132,0.03805195887541312,-0.058016398247219735,-0.14003885577851583,-0.14616905599173216,-0.0028459043651055537,-0.01584026267572269,0.023856315649135585,0.03045898496682475,0.0398904051864127,-0.0946367498829133,0.07135183123836197,0.05229074911207256,-0.04441746591147659,-0.005118359748647091,0.027144796814103634,-0.03836733503358979,0.09435586588703132,0.08791084456234222,0.08236988339062243,-0.07847112059306607,0.052180489096219,0.11940714556399014,-0.13843123557975046,0.4156683243559683
kitchen_no,0.0907986641981291,-0.02398910906663924,0.12402238008408234,-0.01762349967805139,-0.021651044811613757,-0.004665260500227909,0.1348630650476379,0.1300056652972311,1.0,0.14825130864901082,-0.047982775098452286,-0.09029646867490876,0.08285769951643185,-0.021643584594063743,-0.0024353735614300468,0.05448206052227017,0.014843757337822488,0.011239130999422213,0.002924537933075436,-0.08857591335593362,0.0035823177302280085,-0.01073409439226173,0.06861190036919598,0.03459267614946702,0.010981363413098988,0.06956478717871248,-0.018130964665855294,0.030127817653436504,-0.021110029086372228,-0.017921380480261775,-0.026353836067965576,-0.01345842453896957,0.010792903123553223,-0.012476053028702864,0.0022333904621315175,-0.0062479506036310075,0.004943257005101422,-0.01842200230548452,0.01696119251847807,-0.01896097230121193,0.024681661604850153,0.008072530505252576,-0.01086694309119011,-0.07593401981624381,0.004626056765271417,0.0008440233362285959,0.06355545593212802,0.0029245379330754473,0.0016881655727077904,0.019682334021859565,0.002561180649055478,0.007422694990293228,0.05740043066887503,0.007676747654818443,-0.03369978500938946,-0.017944347085062012,0.003700191783254276,-0.008223084765318989,0.004889950725553226,-0.0007973318146365075,0.0008790492738458758,-0.00668927937808798,0.0172781144878825,0.0001342530411108253,-0.011568517715237453,-0.011426071920131465,-0.012838591140597743,-0.004854539884671588,0.022330372537903456,0.022698004301798594,0.006742398711276794,-0.015871815824542595,0.021275029991388254,0.01519028264079055,-0.020166041201633258,0.08669832030688154
toilet_no,0.5778029457887613,0.11199163231283128,0.7300224291571707,0.16361745104424275,0.09378839274962668,0.010292810424132768,0.6477148245660403,0.4863708229485445,0.14825130864901082,1.0,0.06254320838092073,-0.10008386177242112,0.34058056194704356,-0.040191767954304736,-0.05329534356945086,0.3739263325333701,-0.2505735137967278,0.06626734474455766,0.09778069236179321,-0.05389713470826793,-0.009461214391340947,0.035712072264204704,-0.01799181703689051,0.16912114695530223,0.1384645570417232,0.0642234393439874,-0.0037560401872412975,0.07814542414293482,-0.003846935762062284,-0.016563839927763876,-0.009739544656727168,0.0018122543663848494,0.0206567274688711,-0.019950074149491404,-0.00786372701994985,-0.252254042032163,0.25025682655639814,-0.0128657554730846,0.022474253059293382,-0.12321266840461575,0.1186825496181058,-0.0384272158400307,0.06251591648321801,0.0023207640015749597,-0.004076938633507485,-0.0029717907491351296,-0.061115146743698924,-0.006437318318499959,0.02079333017597452,-0.003481919201027215,0.00415320946764155,0.009127936565910632,-0.002916835440439266,-0.045413145599704385,0.004322674323084155,-0.06552288214643576,-0.008772294082300304,-0.005171474914459268,0.03487878814333045,-0.005237044745004422,0.005020907424081506,-0.022257544245748412,0.01639931743884258,0.0543502215235547,-0.004677354868110228,0.014926689185940163,-0.00853111093614589,-0.0068911215584813515,0.018199131456583396,0.015603949914787644,0.0189496922490576,-0.012537996035454758,0.03977619153823331,0.06900503774981147,-0.0767433449285674,0.4711739274986001
