,train_R2,test_R2,train_RMSE,test_RMSE,train_MAE,test_MAE
ols,0.8515848973043461,0.8450110488717427,0.2476,0.2557,0.1886,0.1948
lasso,0.8515467297919975,0.8454681470989338,0.2476,0.2554,0.1886,0.1946
ridge,0.8515641106189553,0.8453860346805178,0.2476,0.2554,0.1886,0.1946
elastic_net,0.8453872950500356,0.8364816350999309,0.2527,0.2627,0.1891,0.1962
knn,0.9999999999999963,0.7901082257035287,0.0,0.2976,0.0,0.2271
svr,0.9429281219792196,0.888795751058289,0.1535,0.2166,0.1134,0.1541
tree,0.9205641456691595,0.8740980093213135,0.1811,0.2305,0.137,0.1679
rf,0.9892384778462813,0.9171678887548631,0.0667,0.187,0.0484,0.1345
ada,0.9997536683260142,0.9190769971076337,0.0101,0.1848,0.0029,0.1269
GB,0.9953987455878687,0.8583767619243307,0.0436,0.2445,0.0336,0.1709
xgb,0.9858759247802183,0.9193896452014045,0.0764,0.1844,0.06,0.1338
